x,f,P_1(x),P_2(x),P_5(x),P_6(x)
-3.0,732.0,732.0,732.0,732.0,732.0
-2.88,573.51,624.301,593.836,574.197,573.51
-2.76,444.793,516.601,470.904,445.564,444.793
-2.64,341.191,408.902,363.205,341.753,341.191
-2.52,258.616,301.202,270.738,258.881,258.616
-2.4,193.503,193.503,193.503,193.503,193.503
-2.28,142.758,85.804,131.5,142.587,142.758
-2.16,103.72,-21.896,84.73,103.485,103.72
-2.04,74.114,-129.595,53.192,73.91,74.114
-1.92,52.016,-237.295,36.886,51.903,52.016
-1.8,35.812,-344.994,35.812,35.812,35.812
-1.68,24.163,-452.693,49.971,24.262,24.163
-1.56,15.973,-560.393,79.362,16.129,15.973
-1.44,10.356,-668.092,123.985,10.513,10.356
-1.32,6.61,-775.792,183.84,6.709,6.61
-1.2,4.186,-883.491,258.928,4.186,4.186
-1.08,2.667,-991.19,349.248,2.553,2.667
-0.96,1.743,-1098.89,454.8,1.538,1.743
-0.84,1.191,-1206.589,575.584,0.957,1.191
-0.72,0.859,-1314.289,711.601,0.688,0.859
-0.6,0.647,-1421.988,862.85,0.647,0.647
-0.48,0.492,-1529.688,1029.331,0.757,0.492
-0.36,0.362,-1637.387,1211.044,0.925,0.362
-0.24,0.24,-1745.086,1407.99,1.012,0.24
-0.12,0.12,-1852.786,1620.167,0.806,0.12
0.0,0.0,-1960.485,1847.578,-0.0,-0.0
0.12,-0.12,-2068.185,2090.22,-1.842,-0.12
0.24,-0.24,-2175.884,2348.095,-5.305,-0.24
0.36,-0.358,-2283.583,2621.201,-11.157,-0.358
0.48,-0.468,-2391.283,2909.541,-20.369,-0.468
0.6,-0.553,-2498.982,3213.112,-34.146,-0.553
0.72,-0.581,-2606.682,3531.916,-53.952,-0.581
0.84,-0.489,-2714.381,3865.951,-81.539,-0.489
0.96,-0.177,-2822.08,4215.22,-118.971,-0.177
1.08,0.507,-2929.78,4579.72,-168.654,0.507
1.2,1.786,-3037.479,4959.453,-233.36,1.786
1.32,3.97,-3145.179,5354.417,-316.256,3.97
1.44,7.476,-3252.878,5764.615,-420.93,7.476
1.56,12.853,-3360.577,6190.044,-551.417,12.853
1.68,20.803,-3468.277,6630.706,-712.227,20.803
1.8,32.212,-3575.976,7086.599,-908.373,32.212
1.92,48.176,-3683.676,7557.726,-1145.394,48.176
2.04,70.034,-3791.375,8044.084,-1429.387,70.034
2.16,99.4,-3899.074,8545.675,-1767.031,99.4
2.28,138.198,-4006.774,9062.497,-2165.611,138.198
2.4,188.703,-4114.473,9594.553,-2633.052,188.703
2.52,253.576,-4222.173,10141.84,-3177.94,253.576
2.64,335.911,-4329.872,10704.36,-3809.55,335.911
2.76,439.273,-4437.571,11282.111,-4537.875,439.273
2.88,567.75,-4545.271,11875.096,-5373.652,567.75
3.0,726.0,-4652.97,12483.312,-6328.387,726.0
